Game,Year,Avg_viewers
League of Legends,2016,118083.41666666667
Counter-Strike: Global Offensive,2016,60028.916666666664
Dota 2,2016,56603.083333333336
Hearthstone,2016,54042.333333333336
Overwatch,2016,22216.727272727272
World of Warcraft,2016,17036.583333333332
Call of Duty: Black Ops III,2016,14185.75
Minecraft,2016,10150.333333333334
Z1: Battle Royale,2016,10012.166666666666
Dead by Daylight,2016,9918.857142857143
League of Legends,2017,117081.5
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,66953.63636363637
Dota 2,2017,51439.333333333336
Hearthstone,2017,50610.416666666664
Counter-Strike: Global Offensive,2017,47987.833333333336
Overwatch,2017,27420.75
IRL,2017,20792.25
Fortnite,2017,18501.833333333332
World of Warcraft,2017,15429.916666666666
FIFA 18,2017,14105.25
Fortnite,2018,154864.25
League of Legends,2018,112639.33333333333
Dota 2,2018,53990.25
IRL,2018,52841.22222222222
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,51962.416666666664
Just Chatting,2018,48101.75
Counter-Strike: Global Offensive,2018,46044.25
Hearthstone,2018,40870.916666666664
Overwatch,2018,34534.5
Call of Duty: Black Ops 4,2018,31532.333333333332
League of Legends,2019,127911.66666666667
Fortnite,2019,120408.83333333333
Just Chatting,2019,86776.75
Grand Theft Auto V,2019,65890.66666666667
Dota 2,2019,57520.5
Counter-Strike: Global Offensive,2019,52456.833333333336
World of Warcraft,2019,48162.583333333336
Apex Legends,2019,44375.27272727273
Teamfight Tactics,2019,34240.142857142855
Overwatch,2019,32511.75
Just Chatting,2020,227243.0
League of Legends,2020,177187.0
VALORANT,2020,124192.88888888889
Fortnite,2020,121475.75
Among Us,2020,95649.83333333333
Grand Theft Auto V,2020,93853.83333333333
Call of Duty: Warzone,2020,92161.91666666667
Counter-Strike: Global Offensive,2020,81474.91666666667
Minecraft,2020,58151.583333333336
Dota 2,2020,56683.833333333336
Just Chatting,2021,365943.3333333333
Grand Theft Auto V,2021,244115.0
League of Legends,2021,218859.16666666666
Fortnite,2021,134622.0
Call of Duty: Warzone,2021,121057.16666666667
Minecraft,2021,110576.5
VALORANT,2021,110351.66666666667
Escape From Tarkov,2021,101960.5
Counter-Strike: Global Offensive,2021,92724.33333333333
Apex Legends,2021,73004.83333333333
